Process;PPI identifier;PPI name;Calculation of the indicator;PPI Type
P-RFR;RFR-1;Frequency of reinstalled requests for release;Percentage of requests for release reinstalled in some environment, with or without Backward, over the total number of requests for release installed on the system.;Percentage
P-RFR;RFR-2;Average executions per release request;Percentage of executions over the total number of requests for release planned for that period.;Percentage
P-RFR;RFR-3;Frequency of executions versus records;Percentage of executions in a period over the total number of requests for release registered in that period.;Percentage
P-RFR;RFR-4;Average life span of a release request ;Average time for all requests for release from registration in that period until successful or unsuccessful closure in that same period. ;Time
P-RFR;RFR-5;Release request canceled by default in the documentation.;Percentage of requests for release cancelled by default in the documentation in that period of the total of the same requests for release registered in that period.;Percentage
P-RFR;RFR-6;Requests for release per successful bidder per project;Number of requests for release per successful bidder per project;Number of requests
P-RFR;RFR-7;Requests for release per successful bidder per application;Number of requests for release per successful bidder per application;Number of requests
P-RFR;RFR-8;Mean offset between planned and actual activity;Average number of days between planned and actual start date/time;Time
P-RFR;RFR-9;Information Processing Center workload;Number of requests for release registered, pending impact analysis or planned;Number of requests
P-RFR;RFR-10;Distribution of the workload received by project;Number of requests for release registered, pending impact analysis or planned per project;Number of requests
P-RFR;RFR-11;Distribution of received workload by application;Number of requests for release registered, pending impact analysis or planned per application;Number of requests
P-RFR;RFR-12;Volume of installations in validation;Number of installations in validation;Number of installations
P-RFR;RFR-13;Volume of installations in pre-production;Number of installations in pre-production;Number of installations
P-RFR;RFR-14;Volume of installations in production;Number of installations in production;Number of installations
P-RFR;RFR-15;Volume of installations in formation;Number of installations in formation;Number of installations
P-RFR;RFR-16;Volume of reinstallations in validation;Number of reinstallations in validation;Number of reinstallations
P-RFR;RFR-17;Volume of reinstallations in pre-production;Number of reinstallations in pre-production;Number of reinstallations
P-RFR;RFR-18;Volume of reinstallations in production;Number of reinstallations in production;Number of reinstallations
P-RFR;RFR-19;Volume of reinstallations in formation;Number of reinstallations in formation;Number of reinstallations
P-RFR;RFR-20;Volume of uninstallations  in validation;Number of uninstallations in validation;Number of uninstallations
P-RFR;RFR-21;Volume of uninstallations in pre-production;Number of uninstallations in pre-production;Number of uninstallations
P-RFR;RFR-22;Volume of uninstallations in production;Number of uninstallations in production;Number of uninstallations
P-RFR;RFR-23;Volume of uninstallations in formation;Number of uninstallations in formation;Number of uninstallations
P-RFR;RFR-24;Volume of executions in validation;Number of executions in validation;Number of executions
P-RFR;RFR-25;Volume of executions in pre-production;Number of executions in pre-production;Number of executions
P-RFR;RFR-26;Volume of executions in production;Number of executions in production;Number of executions
P-RFR;RFR-27;Volume of executions in formation;Number of executions in formation;Number of executions
P-RFR;RFR-28;Average duration of the study of the documentation provided by the petitioner;Average time of the release request in the state Pending study of documentation;Time
P-RFR;RFR-29;Average duration of release request impact analysis;Average time of the release request in the state Pending impact analysis;Time
P-RFR;RFR-30;Volume of total executions per technician;Total number of executions for each technician;Number of executions
P-RFR;RFR-31;Volume of executions in Wintel per technician;Total number of executions for each technician;Number of executions
P-RFR;RFR-32;Volume of executions in DBA per technician;Total number of executions for each technician;Number of executions
P-RFR;RFR-33;Volume of executions in other technologies per technician;Total number of executions for each technician;Number of executions
P-RFR;RFR-34;Average duration of a release request execution ;Average execution time of a release request;Time
P-RFR;RFR-35;Average duration of a release request execution per technician;Average execution time of a release request per technician;Time
P-RFR;RFR-36;Delays caused by the petitioner;Sum of: average time of Installed pending analysis + average time of Uninstalled pending analysis + average time of Defective installation + average time Justifying the cancellation by default of software;Time
P-RFR;RFR-37;Planned requests for release returned or retrieved;Percentage of non-executed releaseed requests over total planned releaseed requests;Percentage
P-RFR;RFR-38;Average duration of preplanning tasks ;Sum of: average time of plannable + average time of to be planned + average time of list to plan;Time
P-RFR;RFR-39;Installation frequency in validation;Percentage of requests for release installed at validation over total installed requests for release;Percentage
P-RFR;RFR-40;Installation frequency in pre-production;Percentage of requests for release installed at pre-production over total installed requests for release;Percentage
P-RFR;RFR-41;Installation frequency in production;Percentage of requests for release installed at production over total installed requests for release;Percentage
P-RFR;RFR-42;Installation frequency in formation;Percentage of requests for release installed at formation over total installed requests for release;Percentage
P-RFR;RFR-43;Average installation time in validation;Sum of (Actual end date/time of installation in validation - Actual start date/time of installation in validation) over total installed validation environments;Time
P-RFR;RFR-44;Average installation time in pre-production;Sum of (Actual end date/time of installation in pre-production - Actual start date/time of installation in pre-production) over total installed pre-production environments;Time
P-RFR;RFR-45;Average installation time in production;Sum of (Actual end date/time of installation in production - Actual start date/time of installation in production) over total installed production environments;Time
P-RFR;RFR-46;Average installation time in formation;Sum of (Actual end date/time of installation in formation - Actual start date/time of installation in formation) over total installed formation environments;Time
P-RFR;RFR-47;Average uninstallation time at validation;Sum of (Actual end date/time of uninstallation in validation - Actual start date/time of uninstallation in validation) over total uninstalled validation environments;Time
P-RFR;RFR-48;Average uninstallation time at pre-production;Sum of (Actual end date/time of uninstallation in pre-production - Actual start date/time of uninstallation in pre-production) over total uninstalled pre-production environments;Time
P-RFR;RFR-49;Average uninstallation time at production;Sum of (Actual end date/time of uninstallation in production - Actual start date/time of uninstallation in production) over total uninstalled production environments;Time
P-RFR;RFR-50;Average uninstallation time at formation;Sum of (Actual end date/time of uninstallation in formation - Actual start date/time of uninstallation in formation) over total uninstalled formation environments;Time
P-RFR;RFR-51;Volume of requests for release by status;Number of requests for release by status;Time
P-RFR;RFR-52;Average duration of a release request in state i;Average lifetime of a release request by state;Time
P-RFR;RFR-53;Frequency of services with stop;Percentage of requests for release with service interruption over total requests for release registered in the month;Percentage
P-RFR;RFR-54;Total time of services stopped;Sum of interruption time of all stopped services in the month;Time
P-RFR;RFR-55;Average duration of a service interruption;Average cut-off time of all stopped services in the month;Time
P-RFR;RFR-56;Requests for release by project;Number of requests for release registered in the indicated period per project per month;Number of requests
P-RFR;RFR-57;Requests for release with service cut-off;Number of requests for release with cut-off service per month;Number of requests
P-RFC;RFC-1;Requests for change cancelled due to record error;Percentage of requests for change cancelled due to record error from the total requests for change registered;Percentage
P-RFC;RFC-2;Delays caused by committees;(Average time of Elevated waiting for committee  + Average time of Elevated waiting for committee Ext) / 2;Time
P-RFC;RFC-3;Volume of requested corrective changes;Percentage of corrective requests for change over total approved requests for change;Percentage
P-RFC;RFC-4;Proactivity with the client;Percentage of perfective and adaptive requests for change over total approved requests for change;Percentage
P-RFC;RFC-5;Average time to analyze a request;Average time of requests for change in analysis;Time
P-RFC;RFC-6;Volume of requests in analysis;Number of requests for change in Analysis;Number of requests
P-RFC;RFC-7;Volume of requests for change  by typification of the change;Number of requests for change by typification of the change;Number of requests
P-RFC;RFC-8;Volume of requests for change per project;Number of requests for change per project;Number of requests
P-RFC;RFC-9;Volume of requests for change per application;Number of requests for change  per application;Number of requests
P-RFC;RFC-10;Volume of requests for change per successful bidder per project;Number of requests for change per successful bidder per project;Number of requests
